E_vis_MeV,Counts
1.0,9088
1.02,9229
1.04,9403
1.06,10144
1.08,10379
1.1,10878
1.12,10919
1.14,10927
1.16,10584
1.18,10467
1.2,10894
1.22,10880
1.24,11086
1.26,11555
1.28,11591
1.3,11839
1.32,12586
1.34,12926
1.36,13186
1.38,13752
1.4,13865
1.42,14220
1.44,14813
1.46,15457
1.48,15820
1.5,15819
1.52,15574
1.54,14741
1.56,14085
1.58,13832
1.6,13579
1.62,13531
1.64,13476
1.66,14238
1.68,14278
1.7,14308
1.72,14603
1.74,14860
1.76,15079
1.78,15588
1.8,15844
1.82,15997
1.84,15887
1.86,15603
1.88,15430
1.9,15135
1.92,14948
1.94,14904
1.96,14742
1.98,14742
2.0,14825
2.02,14923
2.04,15037
2.06,15206
2.08,15386
2.1,15552
2.12,15773
2.14,16133
2.16,16251
2.18,16347
2.2,16436
2.22,16686
2.24,16844
2.26,16922
2.28,17055
2.3,17247
2.32,17348
2.34,17094
2.36,17052
2.38,16965
2.4,16743
2.42,16879
2.44,16996
2.46,16967
2.48,16965
2.5,17270
2.52,17496
2.54,17719
2.56,17527
2.58,17903
2.6,18167
2.62,18420
2.64,18675
2.66,18861
2.68,19278
2.7,19270
2.72,19372
2.74,19480
2.76,19805
2.78,19523
2.8,19128
2.82,18356
2.84,17835
2.86,17015
2.88,16078
2.9,15705
2.92,15485
2.94,15297
2.96,15153
2.98,15003
3.0,14971
3.02,14943
3.04,14914
3.06,14884
3.08,14854
3.1,14835
3.12,14827
3.14,14817
3.16,14759
3.18,14672
3.2,14575
3.22,14479
3.24,14434
3.26,14388
3.28,14338
3.3,14271
3.32,14199
3.34,14126
3.36,14054
3.38,13981
3.4,13907
3.42,13833
3.44,13758
3.46,13690
3.48,13618
3.5,13540
3.52,12831
3.54,12749
3.56,12667
3.58,12584
3.6,12501
3.62,12417
3.64,12336
3.66,12254
3.68,12168
3.7,12077
3.72,11983
3.74,11887
3.76,11787
3.78,11687
3.8,11587
3.82,11487
3.84,11386
3.86,11286
3.88,11185
3.9,11083
3.92,10988
3.94,10895
3.96,10805
3.98,10721
4.0,10648
4.02,10586
4.04,10531
4.06,10479
4.08,10426
4.1,10371
4.12,10317
4.14,10263
4.16,10210
4.18,10157
4.2,10104
4.22,10051
4.24,9996
4.26,9934
4.28,9870
4.3,9803
4.32,9735
4.34,9666
4.36,9596
4.38,9526
4.4,9460
4.42,9397
4.44,9337
4.46,9277
4.48,9217
4.5,9158
4.52,9098
4.54,9036
4.56,8971
4.58,8902
4.6,8828
4.62,8752
4.64,8674
4.66,8595
4.68,8515
4.7,8433
4.72,8350
4.74,8266
4.76,8184
4.78,8103
4.8,8026
4.82,7952
4.84,7880
4.86,7810
4.88,7737
4.9,7665
4.92,7597
4.94,7530
4.96,7465
4.98,7401
5.0,7335
5.02,7268
5.04,7200
5.06,7128
5.08,7052
5.1,6975
5.12,6897
5.14,6819
5.16,6741
5.18,6664
5.2,6587
5.22,6510
5.24,6432
5.26,6354
5.28,6274
5.3,6192
5.32,6109
5.34,6025
5.36,5941
5.38,5858
5.4,5775
5.42,5693
5.44,5611
5.46,5529
5.48,5448
5.5,5368
5.52,5289
5.54,5211
5.56,5133
5.58,5055
5.6,4979
5.62,4903
5.64,4828
5.66,4753
5.68,4680
5.7,4609
5.72,4542
5.74,4480
5.76,4421
5.78,4363
5.8,4304
5.82,4243
5.84,4182
5.86,4121
5.88,4061
5.9,4001
5.92,3942
5.94,3883
5.96,3826
5.98,3773
6.0,3722
6.02,3671
6.04,3618
6.06,3563
6.08,3507
6.1,3449
6.12,3391
6.14,3332
6.16,3274
6.18,3215
6.2,3158
6.22,3100
6.24,3043
6.26,2987
6.28,2930
6.3,2874
6.32,2820
6.34,2766
6.36,2715
6.38,2665
6.4,2616
6.42,2567
6.44,2518
6.46,2470
6.48,2423
6.5,2377
6.52,2333
6.54,2293
6.56,2254
6.58,2217
6.6,2179
6.62,2139
6.64,2099
6.66,2059
6.68,2019
6.7,1979
6.72,1937
6.74,1892
6.76,1851
6.78,1811
6.8,1772
6.82,1733
6.84,1694
6.86,1659
6.88,1630
6.9,1601
6.92,1572
6.94,1546
6.96,1520
6.98,1497
7.0,1475
7.02,1453
7.04,1423
7.06,1394
7.08,1365
7.1,1335
7.12,1307
7.14,1279
7.16,1252
7.18,1229
7.2,1210
7.22,1192
7.24,1174
7.26,1157
7.28,1137
7.3,1115
7.32,1094
7.34,1073
7.36,1051
7.38,1030
7.4,1008
7.42,987
7.44,969
7.46,957
7.48,944
7.5,932
7.52,919
7.54,907
7.56,895
7.58,884
7.6,867
7.62,849
7.64,833
7.66,816
7.68,797
7.7,776
7.72,754
7.74,733
7.76,715
7.78,699
7.8,685
7.82,676
7.84,668
7.86,661
7.88,654
7.9,647
7.92,641
7.94,635
7.96,626
7.98,618
8.0,611
